,Name,Brand,Price,Star_Ratings,Dial_Shape,Strap_Color,Model,Battery_Life,Call_Function,Bluetooth_Version,Display_Resolution,Display_Size,Weight,Battery_Type,Operating_System,Internal_Memory,GPS,No_of_Ratings,No_of_Reviews
397,"Noise Icon 2 1.8'' Display with Bluetooth Calling, Women's Edition, AI Voice Assistant Smartwatch",Noise Icon 2 1.8,1299,4.1,Rectangle,Pink,"Icon 2 1.8'' Display with Bluetooth Calling, Women's Edition, AI Voice Assistant",7 Days,Yes,np.nan,240 x 286 pixel,1.8 inch,np.nan,np.nan,np.nan,np.nan,np.nan,403633,26661
398,Fastrack Revoltt FR1 Pro|1.3Inch AMOLED display with 600 Nits|Advanced BT Calling Chipset Smartwatch,Fastrack Revoltt FR,1999,4.2,Round,Black,Revoltt FR1 Pro|1.3Inch AMOLED display with 600 Nits|Advanced BT Calling Chipset,5 Days,Yes,V5.2,360 x 360 Pixel,33.02 mm,40.8 g,Lithium Polymer,np.nan,np.nan,No,20643,1271
399,"Noise Impact 2"" HD Display with Bluetooth Calling, Metallic Build & Functional Crown Smartwatch","Noise Impact 2"" ",1599,4.0,Rectangle,Green,"Impact 2"" HD Display with Bluetooth Calling, Metallic Build & Functional Crown",Upto 7 Days,Yes,np.nan,240 x 296 pixel,50.8 mm,np.nan,np.nan,np.nan,np.nan,np.nan,4762,296
400,"Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch",Noise Colorfit I,1299,4.1,Rectangle,Black,"Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant",7 Days,Yes,np.nan,240 x 286 pixel,1.8 inch,np.nan,np.nan,np.nan,np.nan,np.nan,403633,26661
401,Fire-Boltt Ninja Pro Max Plus 1.83 Smartwatch,Fire-Boltt Ninja Pro ,1399,4.0,Square,Black,Ninja Pro Max Plus 1.83,Upto 8 days,No,v5.0,240 x 284 Pixel,1.83 Inch,45 g,Lithium Ion,np.nan,np.nan,No,184344,27132
402,"Fire-Boltt Blizzard 1.28"" Luxury watch with BT Calling,Stainless Steel Body & Health Suite Smartwatch",Fire-Boltt Blizzard 1,2199,4.1,Round,Silver,"Blizzard 1.28"" Luxury watch with BT Calling,Stainless Steel Body & Health Suite",Upto 7 Days,Yes,v5.0,240 x 240 Pixels,1.28 inch,180 g,Lithium Ion,np.nan,np.nan,No,19391,4238
403,"boAt Lunar Prime w/ 1.45"" AMOLED Display, BT Calling, boAt Coins & Watch Face Studio Smartwatch",boAt Lunar Prim,1999,4.0,Round,Cream,"Lunar Prime w/ 1.45"" AMOLED Display, BT Calling, boAt Coins & Watch Face Studio",Upto 10 days,Yes,np.nan,466 x 466 Pixel,35.3 mm,np.nan,np.nan,np.nan,np.nan,np.nan,1213,185
404,Fire-Boltt Ninja Calling Pro 1.69 inch Bluetooth Calling Smartwatch with AI Voice Assistant Smartwatch,Fire-Boltt Ninja Call,1499,4.2,Square,Green,Ninja Calling Pro 1.69 inch Bluetooth Calling Smartwatch with AI Voice Assistant,Upto 5 Days,Yes,v5.0,240 x 280 Pixel,1.69 Inch,40 g,Lithium Ion,np.nan,np.nan,No,215815,33790
405,"boAt Wave Vivid with 2.0"" AMOLED Display, Bluetooth Calling & Premium Metal Design Smartwatch",boAt Wave Vivid,2999,4.1,Rectangle,Silver,"Wave Vivid with 2.0"" AMOLED Display, Bluetooth Calling & Premium Metal Design",Upto 7 Days,Yes,np.nan,410 x 502 Pixels,50.8 mm,np.nan,np.nan,np.nan,np.nan,np.nan,411,31
406,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult Crown 1.95,1399,4.1,Square,Orange,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Upto 5 Days,Yes,v5.2,240 x 283 Pixel,49.53 mm,np.nan,Lithium Polymer,np.nan,np.nan,np.nan,40605,4142
