,Name,Brand,Price,Star_Ratings,Dial_Shape,Strap_Color,Model,Battery_Life,Call_Function,Bluetooth_Version,Display_Resolution,Display_Size,Weight,Battery_Type,Operating_System,Internal_Memory,GPS,No_of_Ratings,No_of_Reviews
447,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant Smartwatch",Noise Icon Buzz ,1099,4.1,Rectangle,Black,"Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant",7 Days,Yes,v5.1,240 x 280 pixel,1.69 inch,50 g,np.nan,np.nan,np.nan,np.nan,443075,31516
448,Fastrack Optimus with 1.43'' AMOLED Display with AOD(466x466)|BT Calling|Calculator|IP68 Smartwatch,Fastrack Optimus wi,2299,4.4,Round,Green,Optimus with 1.43'' AMOLED Display with AOD(466x466)|BT Calling|Calculator|IP68,Upto 7 Days,Yes,v5.3,466 x 466 Pixels,36.32 mm,43.6 g,Lithium Polymer,np.nan,np.nan,No,7333,626
449,Fastrack FR1|1.39 inch Super UltraVU Display(360*360)|Advanced BT Calling|Split Screen Smartwatch,Fastrack FR1|1.39 i,2099,4.2,Round,Pink,FR1|1.39 inch Super UltraVU Display(360*360)|Advanced BT Calling|Split Screen,5 Days,Yes,V5.2,360 x 360 Pixel,1.39 inch,42.9 g,Lithium Polymer,np.nan,np.nan,No,13669,1191
450,"Boult Cosmic R 1.3""HD, BT Calling, 500 Nits, 250+ Watch Faces,Complete Health Track Smartwatch",Boult Cosmic R 1,1399,3.9,Round,Black,"Cosmic R 1.3""HD, BT Calling, 500 Nits, 250+ Watch Faces,Complete Health Track",Upto 10 Days,No,v5.0,240 x 240 Pixel,33.02 mm,60 g,Lithium Polymer,np.nan,np.nan,No,16679,1135
451,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult Crown 1.95,1399,4.1,Square,Black,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Upto 5 Days,Yes,v5.2,240 x 283 Pixel,49.53 mm,np.nan,Lithium Polymer,np.nan,np.nan,np.nan,40605,4142
452,"Gizmore GLOW Z 1.78"" AMOLED | AOD | 600 NITS | 15 Days Battery | BT Calling Smartwatch",Gizmore GLOW Z 1.7,2099,4.0,Rectangle,Black,"GLOW Z 1.78"" AMOLED | AOD | 600 NITS | 15 Days Battery | BT Calling",15 Days,Yes,np.nan,368 x 448 pixel,45 mm,45 g,Lithium Ion,Android & IOS,np.nan,np.nan,1088,180
453,Fastrack Revoltt FR1 Pro|1.3Inch AMOLED display with 600 Nits|Advanced BT Calling Chipset Smartwatch,Fastrack Revoltt FR,1999,4.2,Round,Pink,Revoltt FR1 Pro|1.3Inch AMOLED display with 600 Nits|Advanced BT Calling Chipset,5 Days,Yes,V5.2,360 x 360 Pixel,33.02 mm,40.8 g,Lithium Polymer,np.nan,np.nan,No,20643,1271
454,"Fire-Boltt Apollo 3 Luxury Stainless Steel Smart Watch, 1.43"" Super AMOLED, BT Calling Smartwatch",Fire-Boltt Apollo 3 L,1899,4.2,Round,Black,"Apollo 3 Luxury Stainless Steel Smart Watch, 1.43"" Super AMOLED, BT Calling",Upto 7 Days,Yes,v5.0,466 x 466 Pixels,1.43 inch,100 g,Lithium Ion,np.nan,np.nan,No,2799,729
455,"beatXP Marv Raze 1.96"" Display Bluetooth Calling Smart Watch, Smart AI Voice Assistant Smartwatch",beatXP Marv Raze ,1099,4.1,Square,Blue,"Marv Raze 1.96"" Display Bluetooth Calling Smart Watch, Smart AI Voice Assistant",Upto 7 Days,np.nan,np.nan,320 x 386 pixel,4.9 cm,np.nan,Yes,np.nan,np.nan,np.nan,16006,2086
456,"Fire-Boltt Hurricane 1.3"" Curved Glass Display with 360 Health Training, 100+ Sports Modes Smartwatch",Fire-Boltt Hurricane ,1499,4.1,Round,Black,"Hurricane 1.3"" Curved Glass Display with 360 Health Training, 100+ Sports Modes","7 days normal, 15 days standby",No,v5.0,240 x 240 Pixels,1.3 mm,36 g,Lithium Ion,np.nan,np.nan,No,188290,25697
457,"Noise Evolve 3 1.43"" AMOLED Always-On Display with Bluetooth Calling, Metallic Design Smartwatch",Noise Evolve 3 1,2299,4.2,Round,Black,"Evolve 3 1.43"" AMOLED Always-On Display with Bluetooth Calling, Metallic Design",7 Days,Yes,np.nan,466 x 466 pixel,36.32 mm,np.nan,np.nan,np.nan,np.nan,np.nan,67139,5446
458,Noise Evolve 4 1.46 AMOLED Always On Display with Premium Design & Bluetooth Calling Smartwatch,Noise Evolve 4 1,3499,4.3,Round,Blue,Evolve 4 1.46 AMOLED Always On Display with Premium Design & Bluetooth Calling,Upto 7 Days,Yes,np.nan,466 x 466 pixel,37.084 mm,np.nan,np.nan,np.nan,np.nan,np.nan,138,10
459,"Fire-Boltt Expedition GPS Inbuilt Smart Watch, Bluetooth Calling 1.39 Display & 120+ Sports Smartwatch",Fire-Boltt Expedition,1999,4.3,Round,White,"Expedition GPS Inbuilt Smart Watch, Bluetooth Calling 1.39 Display & 120+ Sports",Upto 7 Days,Yes,v5.0,360 x 360 Pixels,35.31 mm,50 g,Lithium Ion,np.nan,np.nan,Yes,2694,616
460,"Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch",Noise Colorfit I,1299,4.1,Rectangle,Black,"Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant",7 Days,Yes,np.nan,240 x 286 pixel,1.8 inch,np.nan,np.nan,np.nan,np.nan,np.nan,403633,26661
461,"Noise Crew 1.38"" Round Display with Bluetooth Calling, Metallic finish, IP68 Rating Smartwatch","Noise Crew 1.38""",1299,4.2,Round,Blue,"Crew 1.38"" Round Display with Bluetooth Calling, Metallic finish, IP68 Rating",7 Days,Yes,np.nan,240 x 240 pixel,35.052 mm,np.nan,np.nan,np.nan,np.nan,np.nan,73483,5158
462,"DIZO Watch D Plus with 1.85inch,550nits display&14 day battery",DIZO,1881,4.1,Rectangle,Black,"Watch D Plus with 1.85inch,550nits display&14 day battery",Upto 14 Days,No,v5.1,240 x 280 Pixels,1.85 Inch,42 g,Lithium Ion,Android 5.0 and Above/iOS 9.0 and Above,np.nan,No,1244,139
463,"Fire-Boltt Diamond Luxury Stainless Steel, 1.43"" AMOLED Display & BT calling Smartwatch",Fire-Boltt Diamond Lu,4499,4.3,Round,Black,"Diamond Luxury Stainless Steel, 1.43"" AMOLED Display & BT calling",Without Bluetooth Calling Function 7 Days With Bluetooth Calling Function 3 Days | 20 Days Standby Mode,Yes,v5.0,466 x 466 Pixels,1.43 inch,80 g,Lithium Ion,np.nan,np.nan,No,248,68
464,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult Crown 1.95,1399,4.1,Square,Silver,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Upto 5 Days,Yes,v5.2,240 x 283 Pixel,49.53 mm,np.nan,Lithium Polymer,np.nan,np.nan,np.nan,40605,4142
465,Fire-Boltt Starlight 2.01'' HD Display Smart Watch Bluetooth Calling Stainless Steel Luxury Smartwatch,Fire-Boltt Starlight ,1699,4.2,Square,Black,Starlight 2.01'' HD Display Smart Watch Bluetooth Calling Stainless Steel Luxury,Upto 9 Days,Yes,v5.0,240 x 292 Pixels,2.01 inch,50 g,Lithium Ion,np.nan,np.nan,No,12221,1947
466,"Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch",Noise Colorfit I,1299,4.1,Rectangle,Blue,"Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant",7 Days,Yes,np.nan,240 x 286 pixel,1.8 inch,np.nan,np.nan,np.nan,np.nan,np.nan,403633,26661
467,Fire-Boltt Legacy 1.43 AMOLED Bluetooth Calling with First Ever Wireless Charging Smartwatch,Fire-Boltt Legacy 1.4,2499,4.2,Round,Black,Legacy 1.43 AMOLED Bluetooth Calling with First Ever Wireless Charging,Without Bluetooth Calling Function 7 Days With Bluetooth Calling Function 3 Days | 20 Days Standby Mode,Yes,v5.0,466 x 466 Pixel,1.43 Inch,80 g,Lithium Ion,np.nan,np.nan,No,28689,7490
468,"beatXP Marv Neo 1.85'' HD Display Bluetooth Calling Smart Watch, Health Tracking & IP68 Smartwatch",beatXP Marv Neo 1,999,4.1,Square,Purple,"Marv Neo 1.85'' HD Display Bluetooth Calling Smart Watch, Health Tracking & IP68",Upto 7 days,np.nan,np.nan,240*280 pixel,4.6 cm,np.nan,Yes,np.nan,np.nan,np.nan,63931,6887
469,"beatXP Vega X 1.43'' AMOLED Display with BT Calling, Metal Body,Wireless Charging, IP68 Smartwatch",beatXP Vega X 1.4,1999,4.0,Round,Black,"Vega X 1.43'' AMOLED Display with BT Calling, Metal Body,Wireless Charging, IP68",Upto 7 Days,np.nan,np.nan,466*466 pixel,36.32 mm,np.nan,Yes,np.nan,np.nan,np.nan,105,20
470,"Noise Icon 3 1.91"" Display with Bluetooth Calling, Metallic finish & Voice Assistant Smartwatch",Noise Icon 3 1.9,1799,4.1,Rectangle,Black,"Icon 3 1.91"" Display with Bluetooth Calling, Metallic finish & Voice Assistant",7 Days,Yes,np.nan,240 x 296 pixel,1.91 inch,np.nan,np.nan,np.nan,np.nan,np.nan,403633,26661
471,"Noise Icon 2 1.8'' Display with Bluetooth Calling, Women's Edition, AI Voice Assistant Smartwatch",Noise Icon 2 1.8,1299,4.1,Rectangle,Pink,"Icon 2 1.8'' Display with Bluetooth Calling, Women's Edition, AI Voice Assistant",7 Days,Yes,np.nan,240 x 286 pixel,1.8 inch,np.nan,np.nan,np.nan,np.nan,np.nan,403633,26661
472,"CMF by Nothing Watch Pro, 1.96 AMOLED display, BT calling with AI noise reduction, GPS Smartwatch","CMF by Nothing Watch Pro,",4499,4.3,Square,Grey,"Watch Pro, 1.96 AMOLED display, BT calling with AI noise reduction, GPS",Upto 13 days,Yes,v5.3,410 x 502 Pixels,49.78 mm,31.1 g,Lithium Ion,np.nan,np.nan,Yes,3754,549
473,GIONEE GSW5 Thermo Smartwatch,GIONEE GSW5 Therm,2299,3.7,Rectangle,Black,GSW5 Thermo,Upto 5 Days (Based on Usage),No,v4.0,240 x 240 pixel,1.3 mm,33 g,Lithium Polymer,np.nan,np.nan,No,3293,328
474,"boAt Ultima Prism with 1.96"" AMOLED Display,BT Calling,boAt Coins & Watch Face Studio Smartwatch",boAt Ultima Pri,1999,4.1,Rectangle,Red,"Ultima Prism with 1.96"" AMOLED Display,BT Calling,boAt Coins & Watch Face Studio",Upto 7 days,Yes,np.nan,410 x 502 Pixel,1.96 inch,np.nan,np.nan,np.nan,np.nan,np.nan,2555,298
475,"boAt Wave Genesis Pro w/ 1.96'' AMOLED Display,BT Calling,Functional Crown,boAt Coins Smartwatch",boAt Wave Genes,2999,3.9,Rectangle,Black,"Wave Genesis Pro w/ 1.96'' AMOLED Display,BT Calling,Functional Crown,boAt Coins",Upto 7 Days,Yes,np.nan,410 x 502 Pixels,49.7 mm,np.nan,np.nan,np.nan,np.nan,np.nan,810,78
476,"Boult Mirage 1.39"" Screen, BT Calling, Working Crown, Zinc Alloy Frame, 500 Nits, SpO2 Smartwatch",Boult Mirage 1.3,1799,4.3,Round,Black,"Mirage 1.39"" Screen, BT Calling, Working Crown, Zinc Alloy Frame, 500 Nits, SpO2",Upto 7 Days,Yes,v5.3,360 x 360 Pixels,35.31 mm,106 g,Lithium Polymer,np.nan,np.nan,No,1033,115
477,"Noise Crew 1.38"" Round Display with Bluetooth Calling, Metallic finish, IP68 Rating Smartwatch","Noise Crew 1.38""",1299,4.2,Round,Black,"Crew 1.38"" Round Display with Bluetooth Calling, Metallic finish, IP68 Rating",7 Days,Yes,np.nan,240 x 240 pixel,35.052 mm,np.nan,np.nan,np.nan,np.nan,np.nan,73483,5158
478,Wings Meta 1.85 Made In India HD IPS Single Chip Calling 100+ Sport Mode 100+Watchface Smartwatch,Wings Meta 1.85 ,1399,4.1,Rectangle,Black,Meta 1.85 Made In India HD IPS Single Chip Calling 100+ Sport Mode 100+Watchface,Upto 7 Days,Yes,v5.3,420 x 284 Pixel,1.85 inch,np.nan,Lithium,np.nan,np.nan,No,1755,364
479,"Boult CrownR Bluetooth Calling, 1.52'' HD Screen, Zero Bezels, Zinc Alloy Frame, IP67 Smartwatch",Boult CrownR Blu,2199,4.2,Round,Black,"CrownR Bluetooth Calling, 1.52'' HD Screen, Zero Bezels, Zinc Alloy Frame, IP67",Upto 7 days,Yes,v5.2,360 x 360 Pixel,1.52 inch,59 g,Lithium Polymer,np.nan,np.nan,No,4743,379
